DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DP/JO/282","JO",282,"C/EGD/1862","Sex",,"jhm","07/31/01 14:44:15","jhm","07/31/01 14:44:17"
"DP/JO/283","JO",283,"C/EGD/1862","Devil's Mark","right side of neck","jhm","07/31/01 14:45:20","jhm","07/31/01 14:45:36"
"DP/JO/284","JO",284,"C/EGD/1862","Servant",,"jhm","07/31/01 14:45:37","jhm","07/31/01 14:45:37"
"DP/JO/285","JO",285,"C/EGD/1859","Servant",,"jhm","07/31/01 15:25:09","jhm","07/31/01 15:25:10"
"DP/JO/286","JO",286,"C/EGD/1859","Head and foot",,"jhm","07/31/01 15:25:12","jhm","07/31/01 15:25:13"
"DP/JO/287","JO",287,"C/EGD/1859","Anti-baptism",,"jhm","07/31/01 15:25:15","jhm","07/31/01 15:25:15"
"DP/JO/288","JO",288,"C/EGD/1859","Want nothing",,"jhm","07/31/01 15:25:38","jhm","07/31/01 15:25:43"
"DP/JO/289","JO",289,"C/EGD/1859","New name","Willie","jhm","07/31/01 15:25:55","jhm","07/31/01 15:26:54"
"DP/JO/29","JO",29,"C/EGD/1324","Anti-baptism",,"jhm","06/13/01 12:40:24","jhm","06/13/01 12:40:33"
"DP/JO/290","JO",290,"C/EGD/1859","Devil's Mark","on right hand","jhm","07/31/01 15:25:58","jhm","07/31/01 15:27:39"
"DP/JO/291","JO",291,"C/EGD/1860","Anti-baptism",,"jhm","07/31/01 15:44:12","jhm","07/31/01 15:44:12"
"DP/JO/292","JO",292,"C/EGD/1860","Body and soul",,"jhm","07/31/01 15:44:27","jhm","07/31/01 15:44:28"
