Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P/ST/1115",1115,"ST","Kirkbride","XKD",1115,"Teviotdale","Desnes",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1116",1116,"ST","Kearn","XKE",1116,"Garioch","Marr",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1117",1117,"ST","Kinneff","XKF",1117,"Merse","Mearns",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1118",1118,"ST","Kirkmichael","XKH",1118,"Ross",,,,"NH",705,658,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1119",1119,"ST","Kirkbride","XKI",1119,"Teviotdale","Carrick",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1120",1120,"ST","Kilmun","XKN",1120,"Morvern","Glassary",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1121",1121,"ST","Kinnoir","XKR",1121,"Strathspey","Strathbogie",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1122",1122,"ST","Keith Marischall","XKS",1122,"Merse","Haddington",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1123",1123,"ST","Kilmuir","XKU",1123,"Isles",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1124",1124,"ST","Kinnernie","XKY",1124,"Garioch","Marr",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1125",1125,"ST","Laggan","LAG",1125,"Strathspey","Strathspey",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1126",1126,"ST","Lairg","LAI",1126,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1127",1127,"ST","Laurencekirk","LAK",1127,"Merse","Mearns",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1129",1129,"ST","Lismore & Appin","LAP",1129,"Morvern","Lorn",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1130",1130,"ST","Largo","LAR",1130,"Merse","Fife",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1131",1131,"ST","Lasswade","LAS",1131,"Merse","Linlithgow",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1132",1132,"ST","Latheron","LAT",1132,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1133",1133,"ST","Lauder","LAU",1133,"Merse","Merse",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1134",1134,"ST","Lamington","LAX",1134,"Teviotdale","Lanark",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1135",1135,"ST","Lochbroom","LBR",1135,"Ross",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1136",1136,"ST","Libberton","LBT",1136,"Teviotdale","Lanark",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1137",1137,"ST","Logiebride","LBX",1137,"South of Forth","Angus",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1138",1138,"ST","Lochcarron","LCA",1138,"Ross",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1139",1139,"ST","Lochs (Lewis)","LCH",1139,"Isles",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1140",1140,"ST","Leochel","LXC",1140,"Garioch","Marr",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1141",1141,"ST","Leochel-Cushnie","LCU",1141,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1142",1142,"ST","Luncarty","LCX",1142,"Merse","Gowrie",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1143",1143,"ST","Little Dunkeld","LDK",1143,"South of Forth",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1144",1144,"ST","Legerwood","LEG",1144,"Merse","Merse",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1145",1145,"ST","Lethnott & Navar","LEN",1145,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1146",1146,"ST","Leslie","LES",1146,"Garioch","Garioch",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1147",1147,"ST","Lethendy","LET",1147,"South of Forth","Angus",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1148",1148,"ST","Leuchars","LEU",1148,"Merse","Fife",,,"NO",450,210,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1149",1149,"ST","Lesmahagow","LEW",1149,"Teviotdale","Lanark",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1150",1150,"ST","Lecropt","LEX",1150,"South of Forth","Fife & Strathearn",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
