Measured Point,Vol.,Conc.,Cond. 185,Temp. 185,Cond. 187,Temp. 187,
,ml,mg/l,µS/cm,°C,µS/cm,°C,
0,250.0,0.00,105.8,10.7,105.4,10.7,
1,250.5,19.96,220.7,10.7,220.9,10.6,
2,251.0,39.84,335.8,10.7,334.7,10.6,
3,251.5,59.64,448.4,10.7,447.0,10.6,
4,252.0,79.37,562.2,10.7,560.3,10.6,
5,252.5,99.01,685.4,10.7,683.1,10.6,
Date/Time,Measured Point,Cond. 185,Cond. 187,Temp. 185,Temp. 187,
6/18/2016 10:16:24 AM,288,13.2,13.2,14.0,13.9,
6/18/2016 10:16:25 AM,289,13.2,13.2,14.0,13.9,
6/18/2016 10:16:26 AM,290,13.2,13.2,14.0,13.9,
6/18/2016 10:16:27 AM,291,13.2,13.2,14.0,13.9,
6/18/2016 10:16:28 AM,292,13.2,13.2,14.0,13.9,
6/18/2016 10:16:29 AM,293,13.2,13.2,14.0,13.9,
6/18/2016 10:16:30 AM,294,13.2,13.2,14.0,13.9,
6/18/2016 10:16:31 AM,295,13.2,13.2,14.0,13.9,
6/18/2016 10:16:32 AM,296,13.2,13.2,14.0,13.9,
6/18/2016 10:16:33 AM,297,13.2,13.2,14.0,13.9,
6/18/2016 10:16:34 AM,298,13.2,13.2,14.0,13.9,
6/18/2016 10:16:35 AM,299,13.2,13.2,14.0,13.9,
6/18/2016 10:16:36 AM,300,13.2,13.2,14.0,13.9,
6/18/2016 10:16:37 AM,301,13.2,13.2,14.0,13.9,
6/18/2016 10:16:38 AM,302,13.2,13.2,14.0,13.9,
6/18/2016 10:16:39 AM,303,13.2,13.2,14.0,13.9,
6/18/2016 10:16:40 AM,304,13.2,13.2,14.0,13.9,
6/18/2016 10:16:41 AM,305,13.2,13.2,14.0,13.9,
6/18/2016 10:16:42 AM,306,13.2,13.2,14.0,13.9,
6/18/2016 10:16:43 AM,307,13.2,13.2,14.0,13.9,
6/18/2016 10:16:44 AM,308,13.2,13.2,14.0,13.9,
6/18/2016 10:16:45 AM,309,13.2,13.2,14.0,13.9,
6/18/2016 10:16:46 AM,310,13.2,13.2,14.0,13.9,
6/18/2016 10:16:47 AM,311,13.2,13.2,14.0,13.9,
